Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-30,18:00:00,978.97,979.79,976.23,978.7299,236264,0
2017-06-30,19:00:00,978.5121,979.92,974.66,974.97,191661,0
2017-06-30,20:00:00,975.1876,976.84,974.55,975.77,131387,0
2017-06-30,21:00:00,975.35,976.36,974.83,975.7,172093,0
2017-06-30,22:00:00,975.71,975.779,967.61,968,868446,0
2017-07-03,16:00:00,972.79,974.49,966.75,968.88,386199,0
2017-07-03,17:00:00,968.99,971.41,962,962.08,432178,0
2017-07-03,18:00:00,962.26,962.5,953,959.23,558863,0
2017-07-03,19:00:00,959.12,959.29,951.0001,954.02,550013,0
2017-07-03,20:00:00,954.39,955.9,953.66,953.66,134134,0
2017-07-05,16:00:00,961.53,964,955.25,959.7799,586971,0
2017-07-05,17:00:00,960.07,966.43,956.255,966.43,486760,0
2017-07-05,18:00:00,966.32,968.7,965.5,967.53,334901,0
2017-07-05,19:00:00,967.375,971.494,967.12,970.49,242133,0
2017-07-05,20:00:00,970.5,975,970.376,970.9084,217507,0
2017-07-05,21:00:00,970.95,974.88,969.91,970.5,198823,0
2017-07-05,22:00:00,970.73,973.15,968,971.4,530792,0
2017-07-06,16:00:00,964.66,966.65,960.26,963.57,396394,0
2017-07-06,17:00:00,963.57,964.64,959.02,962.46,392183,0
2017-07-06,18:00:00,962.58,968.8986,961.16,968.49,352414,0
2017-07-06,19:00:00,968.35,974.4,966.04,972.88,298427,0
2017-07-06,20:00:00,972.91,973.45,966.5101,967.4112,219466,0
2017-07-06,21:00:00,967.57,971.59,965.5,967.42,219020,0
2017-07-06,22:00:00,967.07,968.13,964.1,965.14,408259,0
2017-07-07,16:00:00,969.55,974.95,969.55,974.0975,432647,0
2017-07-07,17:00:00,973.85,974.29,969.14,973.41,261633,0
2017-07-07,18:00:00,973.26,977.24,972.6,976.235,232280,0
2017-07-07,19:00:00,976.43,978.42,976.25,977.925,187438,0
2017-07-07,20:00:00,977.91,980.11,977.41,979.89,148056,0
2017-07-07,21:00:00,979.88,979.89,976.61,979.2,146372,0
2017-07-07,22:00:00,978.95,979.94,976.26,978.76,422057,0
2017-07-10,16:00:00,985,989.87,983.5,985.81,456834,0
2017-07-10,17:00:00,986.22,993.51,985.67,993.47,443412,0
2017-07-10,18:00:00,993.51,997.4,991.4,996.72,422580,0
2017-07-10,19:00:00,996.855,998.46,995.8147,998.08,242543,0
2017-07-10,20:00:00,997.97,999.29,996.76,998.81,182435,0
2017-07-10,21:00:00,999,999.4392,995.46,996.2,180012,0
2017-07-10,22:00:00,996.19,999.15,995.57,996.47,545967,0
2017-07-11,16:00:00,993,993.71,986.73,991.88,540513,0
2017-07-11,17:00:00,991.63,995.28,989.24,991.4367,377313,0
2017-07-11,18:00:00,991.4331,993.5087,983.72,990.745,375265,0
2017-07-11,19:00:00,990.86,991.8,987.79,989.4752,130297,0
2017-07-11,20:00:00,989.61,992.65,989.17,992.5016,105247,0
2017-07-11,21:00:00,992.6,994.12,991.94,993.6,145793,0
2017-07-11,22:00:00,993.53,995.99,993,994.13,399881,0
2017-07-12,16:00:00,1000.65,1004.75,998.1,1000.6296,624462,0
2017-07-12,17:00:00,1000.465,1003.3,999.13,1000.58,391118,0
2017-07-12,18:00:00,1000.5297,1004,1000.37,1003.2701,249265,0
2017-07-12,19:00:00,1003.5,1004.99,1002.75,1004.63,185893,0
2017-07-12,20:00:00,1004.69,1006.15,1004.45,1005.8872,221938,0
2017-07-12,21:00:00,1005.8775,1007.67,1004.81,1006.37,213793,0
2017-07-12,22:00:00,1006.48,1008.55,1006.14,1006.51,608414,0
2017-07-13,16:00:00,1004.62,1006.88,1001.62,1004.9703,386718,0
2017-07-13,17:00:00,1005.24,1005.45,997.655,1000.19,468296,0
2017-07-13,18:00:00,1000.01,1001.35,997.802,1000.7,197793,0
2017-07-13,19:00:00,1000.79,1002.76,999.6755,1001.62,142364,0
2017-07-13,20:00:00,1001.53,1001.89,996.1,998.185,188671,0
2017-07-13,21:00:00,998.06,999.17,995.9,997.945,150972,0
2017-07-13,22:00:00,997.7,1000.8,997,999.855,479205,0
2017-07-14,16:00:00,1002.4,1004.45,997.38,998.8568,286218,0
2017-07-14,17:00:00,998.63,999.9,996.89,999.375,235714,0
2017-07-14,18:00:00,999.195,1002.77,998.76,1002.64,150176,0
2017-07-14,19:00:00,1002.51,1003.1,1001.2306,1002,95364,0
2017-07-14,20:00:00,1001.9701,1003.39,1001.02,1002.75,120855,0
2017-07-14,21:00:00,1002.76,1003.21,1001.135,1001.45,122332,0
2017-07-14,22:00:00,1001.57,1002.7,1000.31,1001.81,417381,0
2017-07-17,16:00:00,1004.69,1014.11,1003.81,1013.24,672174,0
